clusterID,pca1,pca2,Row_id,Tweets,Class
0,-0.47,-0.18,577,wow that flood in elliott city was crazy the city looks like it was hit by a hurricane  the weather extremes of maryland are never a joke,help/rescue
0,-0.47,-0.30,93,after destructive flood help ellicott city recover,help/rescue
0,-0.47,-0.01,548,prayers to my home town cant believe that a flood would do that much damage  ellicottcity pictwittercom/o3t4qyogy1,help/rescue
0,-0.46,-0.12,67,the pictures and videos of the ellicottcity flood are absolutely terrifying! what a freak storm ,help/rescue
0,-0.46,-0.24,25,my heart hurts for all of the dogs that were in the ellicott city flood,help/rescue
0,-0.46,-0.09,285,priorities woman rescued in ellicott ellicott city from rising flood waters,help/rescue
0,-0.46,-0.24,198,capitalweather went to ellicottcity flood scene,help/rescue
0,-0.46,-0.23,443,live this morning with laceewbal with the latest on the flood damage in ellicott city wbaltv11pictwittercom/pu42mf5cxe,help/rescue
0,-0.46,-0.09,528,holy crap! this is my sisters street in ellicottcity maryland  flood swept her car away foxbaltimorepictwittercom/ev6awlzizo,help/rescue
0,-0.46,-0.18,421,ive never see a flood that bad in ellicott city,help/rescue
0,-0.46,-0.20,422,a man chasing his car in the flood ellicottcity,help/rescue
0,-0.46,-0.21,254,our hearts go out to the victims of the massive flood in ellicott city  were going to hold a fundraiser,help/rescue
0,-0.46,-0.33,497,another live report on flood damage in ellicott city coming up wbaltv 11 baltimore wbal wbaltv11 ellicottcityu2026,help/rescue
0,-0.45,0.10,83,45 rain in 1 hr 6 total in ellicott city flood last night probability is only 01% per yr of such intense rain,help/rescue
0,-0.45,-0.23,111,super flood (state of emergency) in ellicottcity md  multiple shootings in austin tx friends please let me know youre ok,help/rescue
0,-0.45,-0.03,622,i cant believe all of the damage and havoc the flood caused ellicottcity pictwittercom/syrp5j6kmd,help/rescue
0,-0.45,0.22,375,please please pray for my hometown ellicott city md flood waters ripped through main street last night its horrific ellicottcity,help/rescue
0,-0.45,-0.12,11,yikes  major flood in ellicott city md  leaves behind damage,help/rescue
0,-0.45,-0.13,84,prayers for those flood victims in ellicottcity md,help/rescue
0,-0.45,-0.03,112,wow! video of ellicott city flood escalating to dangerous in just 5 min (pic ian_jett),help/rescue
0,-0.45,-0.19,504,our best wishes to those affected by the ellicott city flood yesterday,help/rescue
0,-0.45,-0.09,410,so sad to see the flood pictures from ellicott city (,help/rescue
0,-0.45,-0.17,78,friends following the ellicottcity flood  rt from summerwindjim photos from yesterday before the storm,help/rescue
0,-0.45,-0.17,489,ellicott city is such a pretty little town i hope everybody there recovers from the flood,help/rescue
0,-0.45,-0.33,476,another live report on flood damage in ellicott city coming up wbaltv 11 baltimore wbal wbaltv11 ellicottcity,help/rescue
0,-0.45,-0.17,463,larryhogan & hocogovexec touring ellicott city flood damage now ,help/rescue
0,-0.45,-0.01,537,major flooding in ellicott city justin berk shared photos and video call flood department water removal maryland,help/rescue
0,-0.45,-0.32,225,a few more pics from flood damage in ellicottcity wbaltv 11 baltimore wbal wbaltv11 laceewbal,help/rescue
0,-0.45,-0.02,420,my dads restaurant portallis in old ellicott city was destroyed in the flood  pictwittercom/qceueyvi0k,help/rescue
0,-0.44,0.12,196,car alarms going nuts in ellicottcity after heavy rain leads to this video flood pictwittercom/yy4sttyliw,help/rescue
0,-0.44,-0.13,58,sad events for my family during ellicottcity flood,help/rescue
0,-0.44,-0.18,383,per howard county office of emergency management please do not go to look at the flood damage in ellicott city,help/rescue
0,-0.44,-0.14,39,quincie_candice after the flood in elliott city md this is literally down the street from me!!,help/rescue
0,-0.44,0.27,148,my heart breaks looking at the pictures from the flood damage in ellicott city last night i hope everyone got home safe hocomd,help/rescue
0,-0.44,-0.12,386,per howard county office of emergency management please do not go to look at the flood damage in ellicott city pictwittercom/itdaepijiw,help/rescue
0,-0.44,-0.12,216,flood and storm damage seen in ellicott city md  ian_jettpictwittercom/2jfsc5bacy,help/rescue
0,-0.43,-0.17,161,maybe the flood in elliott city will sweep me tf away from this bs,help/rescue
0,-0.43,-0.25,387,how to help ellicottcity maryland recover from flood,help/rescue
0,-0.43,-0.31,157,a few more pics from flood damage in ellicottcity wbaltv 11 baltimore wbal wbaltv11,help/rescue
0,-0.43,-0.21,37,flood recovery info,help/rescue
0,-0.43,-0.22,19,this flood in ellicott city md is hard to read about,help/rescue
0,-0.43,-0.36,329,khsr109 the flood was in ellicott city thats north of me closer to baltimore,help/rescue
0,-0.43,-0.31,574,baltimore county man and pennsylvania woman identified as ellicottcity flood victims,help/rescue
0,-0.43,0.16,178,8 inches in a 3hr span last night!  terrible flood in old ellicott city  i drove to/from bmore during the worst,help/rescue
0,-0.42,-0.08,91,major flood in ellicottcity leaves behind damage,help/rescue
0,-0.42,-0.08,7,major flood in ellicott city leaves behind damage,help/rescue
0,-0.42,-0.17,515,if you want to donate to help the devastating flood damage in ellicottcity,help/rescue
0,-0.42,-0.18,262,police identify 2 people killed in ellicott city flood,help/rescue
0,-0.42,-0.08,275,im so devastated by this ellicott city flood such a beautiful and historical place and all the peoples whos cars got ruined its crazy,help/rescue
